"Tender Number";"Status";"Estimated Value";"Title";"Department";"Location";"Category";"Description";"Published Date"
"RDPR/2023-24/SE0636";"NO_BIDS_RECIEVED";"23";"SUPPLY AND MAINTENANCE OF STREET LIGHT TO KODAGANURU GP ALL VILLAGES DAVANAGERE DISTRICT";"Rural Development and Panchayat Raj Department";"RDPR Gram Panchayat Office Kodaganur TP Davanagere";"SERVICES";"SUPPLY AND MAINTENANCE OF STREET LIGHT TO KODAGANURU GP ALL VILLAGES DAVANAGERE DISTRICT";"2024-11-01 15:35:00"
"RDPR/2023-24/SE0644";"NO_BIDS_RECIEVED";"14";"SUPPLY AND MAINTENANCE OF CLEANING MATERIALS TO KODAGANURU GP ALL VILLAGES DAVANAGERE DISTRICT";"Rural Development and Panchayat Raj Department";"RDPR Gram Panchayat Office Kodaganur TP Davanagere";"SERVICES";"SUPPLY AND MAINTENANCE OF CLEANING MATERIALS TO KODAGANURU GP ALL VILLAGES DAVANAGERE DISTRICT";"2024-11-01 15:33:26"
"RDPR/2023-24/SE0638";"NO_BIDS_RECIEVED";"17";"Providing Service on Lifting and rewinding of motors and minor repaires in Kodaganuru GP Davanagere dist";"Rural Development and Panchayat Raj Department";"RDPR Gram Panchayat Office Kodaganur TP Davanagere";"SERVICES";"Providing Service on Lifting and rewinding of motors and minor repaires in Kodaganuru GP Davanagere dist";"2024-11-01 15:32:25"
"KMF/2023-24/SE1394";"PUBLISHED";"948326";"Providing Vehicle for Mathapathi Thota Route";"Karnataka Co-operative Milk Producers Federation Limited";"Managing Director Belgaum District Co-operative Milk Producers Societies Union Limited";"SERVICES";"Providing Vehicle of capacity 1.5 Ton for Athani Taluk Mathapathi Thota Route";"2024-11-01 15:32:22"
"RDPR/2023-24/IND0871";"NO_BIDS_RECIEVED";"61";"Supply of Material for Drinking Watersupply items of Kodaganuru GP Davanagere dist.";"Rural Development and Panchayat Raj Department";"RDPR Gram Panchayat Office Kodaganur TP Davanagere";"GOODS";"Supply of Material for Drinking Watersupply items of Kodaganuru GP Davanagere dist.";"2024-11-01 15:30:33"
"DMA/2023-24/EL/WORK_INDENT12545";"EVALUATION_COMPLETED";"238978";"Extension of streetlight at Kinnigoli, Kateel, Mennabettu, Nadugodu under Kinnigoli TP limits";"Directorate of Municipal Administration";"DMA Town Panchayat Kinnigoli";"WORKS";"Extension of streetlight at Kinnigoli, Kateel, Mennabettu, Nadugodu under Kinnigoli TP limits";"2024-11-01 15:30:14"
"DMA/2023-24/RD/WORK_INDENT7002/CALL-2";"EVALUATION_COMPLETED";"1082770";"Construction of CC road in W.No 19 and providing LED Street lights in W.No 8, 13 and 19";"Directorate of Municipal Administration";"DMA Town Municipal Council Aurad";"WORKS";"Construction of CC road in W.No 19 and providing LED Street lights in W.No 8, 13 and 19";"2024-11-01 15:28:24"
"KMF/2023-24/SE1393";"CLOSED";"280627";"Providing Vehicle for Shivapur Route";"Karnataka Co-operative Milk Producers Federation Limited";"Managing Director Belgaum District Co-operative Milk Producers Societies Union Limited";"SERVICES";"Providing Vehicle of capacity 1.5 Ton for Mudalagi Taluk Shivapur Route";"2024-11-01 15:24:23"
"KPCL/2023-24/IND0762";"EVALUATION_COMPLETED";"8177960";"Procurement of Sulphuric Acid for the year 2024-25";"Karnataka Power Corporation Limited";"KPCL Executive Engineer Purchase Office RTPS Raichur";"GOODS";"Procurement of Sulphuric Acid for the year 2024-25";"2024-11-01 15:19:45"
"KPCL/2023-24/SE0085";"RETENDERED";"7724160";"Providing 03 Nos of M&M Bolero/Equivalent for General duty with 3 Nos of drivers and 1 No (12 days) reliever driver & Providing 02 Nos of M&M Bolero/Equivalent for 24 Hrs. shift duty basis with 3 Nos of drivers and 1 No of (12 days) reliever driver, 7(6 plus 1) Seater(GPS Fitted), Non-A/c, Diesel vehicle of 2021 or onwards model on monthly hire basis 1500 KM per vehicle for a period of 2 years(Extendable by 1 year on the performance of the agency & condition of the vehicles) at Gerusoppa Project";"Karnataka Power Corporation Limited";"KPCL Executive Engineer MSPJ Office SVP Sharavathy";"SERVICES";"Providing 03 Nos of M&M Bolero/Equivalent 7(6 plus 1) Seater(GPS Fitted), Non-A/c, Diesel vehicles of 2021 or onwards model for General duty basis with drivers 3 nos. of drivers and 1 no. of weekly holidays (12 days) reliever driver) & Providing 02 Nos of M&M Bolero/Equivalent 7(6 plus 1) Seater(GPS Fitted), Non-A/c, Diesel vehicles of 2021 or onwards model for 24 Hrs. shift duty basis with drivers (3 nos. of drivers and 1 no. of weekly holidays (12 days) reliever driver) on monthly hire basis for 1500 km per month per vehicle from the transport agencies, fleet owners & service providers for a period of 2 years (Extendable by 1 year on the performance of the agency & condition of the vehicles) at Gerusoppa Project";"2024-11-01 15:19:41"
"DOTR/2023-24/SE0038";"EVALUATION_COMPLETED";"312366";"Outsource Employees to DTO and STO in Koppal";"Department of Treasuries";"District Treasury Office Koppal";"SERVICES";"Outsource Employees to DTO and STO in Koppal";"2024-11-01 15:19:32"
"KPCL/2023-24/IND0761";"UNDER_EVALUATION";"217800";"Procurement of VHF Spares";"Karnataka Power Corporation Limited";"KPCL Executive Engineer Purchase Office RTPS Raichur";"GOODS";"Procurement of VHF Spares";"2024-11-01 15:19:00"
"KMF/2023-24/SE1392";"PUBLISHED";"280627";"Providing Vehicle for Naganur Route";"Karnataka Co-operative Milk Producers Federation Limited";"Managing Director Belgaum District Co-operative Milk Producers Societies Union Limited";"SERVICES";"Providing Vehicle of capacity 1.0 Ton for Mudalagi Taluk Naganur Route";"2024-11-01 15:17:24"
"KPCL/2023-24/IND0705/CALL-2";"UNDER_EVALUATION";"1094250";"Procurement of Welding transformer and welding machines for RTPS";"Karnataka Power Corporation Limited";"KPCL Superintending Engineer I one Office RTPS Raichur";"GOODS";"Procurement of Welding transformer and welding machines for RTPS";"2024-11-01 15:11:49"
"RDPR/2023-24/SE0396/CALL-3";"UNDER_EVALUATION";"6";"FOOD GRAIN SUPPLY FROM KFCSC GODOWN TO SCHOOLS";"Rural Development and Panchayat Raj Department";"RDPR Zilla Panchayat Deputy Secretary Office Chikkaballapur";"SERVICES";"FOOD GRAIN SUPPLY FROM KFCSC GODOWN TO SCHOOLS FOR 6 CHIKKABALLAPUR DISTRICT THALUKS";"2024-11-01 15:11:12"
"KPCL/2023-24/IND0683/CALL-2";"UNDER_EVALUATION";"984500";"Procurement of trolly and ladders for CHP of RTPS";"Karnataka Power Corporation Limited";"KPCL Superintending Engineer I one Office RTPS Raichur";"GOODS";"Procurement of trolly and ladders for CHP of RTPS";"2024-11-01 15:10:39"
"RDPR/2023-24/BD/WORK_INDENT2343/CALL-2";"UNDER_EVALUATION";"533548";"Construction of Mid-day-Meals Room in Government Higher primary School At Chirabi village in Kudligi taluk (KKRDB 2022-23) (RS.5.39 lakhs)";"Rural Development and Panchayat Raj Department";"RDPR Division Office Vijayanagara";"WORKS";"Construction of Mid-day-Meals Room in Government Higher primary School At Chirabi village in Kudligi taluk (KKRDB 2022-23) (RS.5.39 lakhs)";"2024-11-01 15:10:25"
"RDPR/2023-24/BD/WORK_INDENT3171";"EVALUATION_COMPLETED";"894361";"Repairs of rooms.Toilet pit,Doors Windows,Providing pipe line and water facilities,Bath room doors and windows repairs, provide water facilities and construct part of compound to Pre Metric Boys Hostel Chakkajogihalli village in Kudligi taluk";"Rural Development and Panchayat Raj Department";"RDPR Division Office Vijayanagara";"WORKS";"Repairs of rooms.Toilet pit,Doors Windows,Providing pipe line and water facilities,Bath room doors and windows repairs, provide water facilities and construct part of compound to Pre Metric Boys Hostel Chakkajogihalli village in Kudligi taluk";"2024-11-01 15:09:50"
"KPCL/2023-24/IND0574/CALL-2";"UNDER_EVALUATION";"736928";"Procurement of valves for fire protection system for RTPS on ARC Basis for one year";"Karnataka Power Corporation Limited";"KPCL Superintending Engineer I one Office RTPS Raichur";"GOODS";"Procurement of valves for fire protection system for RTPS on ARC Basis for one year";"2024-11-01 15:09:04"
"KMF/2023-24/SE1391";"PUBLISHED";"222566";"Providing Vehicle for Melavabki Route";"Karnataka Co-operative Milk Producers Federation Limited";"Managing Director Belgaum District Co-operative Milk Producers Societies Union Limited";"SERVICES";"Providing Vehicle of capacity 1.0 Ton for Mudalagi Taluk Melavabki Route";"2024-11-01 15:08:25"
"KMF/2023-24/SE1390";"PUBLISHED";"454809";"Providing Vehicle for Khanatti Route";"Karnataka Co-operative Milk Producers Federation Limited";"Managing Director Belgaum District Co-operative Milk Producers Societies Union Limited";"SERVICES";"Providing Vehicle of capacity 1.5 Ton for Mudalagi Taluka Khanatti Route";"2024-11-01 15:00:43"
"BWSSB/2023-24/WS/WORK_INDENT219/CALL-2";"UNDER_EVALUATION";"3619420";"Providing and laying 300 RCC NP3 pipe line in place of damaged 225/300mm dia line at Devegowda Petrol Bunk to Kamakya, Banagirinagar coming under Devagiri Service Station of SW-4 Sub-Division.";"Bengaluru Water Supply And Sewerage Board";"BWSSB Executive Engineer South West Two";"WORKS";"Providing and laying 300 RCC NP3 pipe line in place of damaged 225/300mm dia line at Devegowda Petrol Bunk to Kamakya, Banagirinagar coming under Devagiri Service Station of SW-4 Sub-Division.";"2024-11-01 14:58:54"
"DPI/2023-24/IND0193";"UNDER_EVALUATION";"1347522";"DEPARTMENT OF SCHOOL EDUCATION MANDYA DIST";"Department of Public Instruction";"Deputy Director Office Mandya";"GOODS";"DEPARTMENT OF SCHOOL EDUCATION MANDYA DIST";"2024-11-01 14:57:05"
"DMA/2023-24/SE1876";"UNDER_EVALUATION";"5363202";"TMC ALN/OUTSOURCE/2023-24";"Directorate of Municipal Administration";"DMA Town Municipal Council Alanda";"SERVICES";"Estimate for Outsource Manpower for Loaders-7, Driver-10 , Sanitary Supervisor-2,Watchman-2 and JCB Opertors-1 for TMC Aland";"2024-11-01 14:53:05"
"DMA/2023-24/OW/WORK_INDENT12473";"RECALLED";"75600";"Morning breakfast for backward PKs staff";"Directorate of Municipal Administration";"DMA Town Panchayat Kotturu";"WORKS";"Morning breakfast for backward PKs staff";"2024-11-01 14:51:59"
"KMF/2023-24/SE1388";"CLOSED";"745113";"ProvidingVehicleforBrahmnagarRoute";"Karnataka Co-operative Milk Producers Federation Limited";"Managing Director Belgaum District Co-operative Milk Producers Societies Union Limited";"SERVICES";"Providing Vehicle of capacity 1.5 Ton for Mudalgi Taluk Brahmnagar Route";"2024-11-01 14:51:24"
"DMA/2023-24/OW/WORK_INDENT12469";"RECALLED";"226800";"Morning breakfast for SC PKs staff";"Directorate of Municipal Administration";"DMA Town Panchayat Kotturu";"WORKS";"Morning breakfast for SC PKs staff";"2024-11-01 14:51:15"
"RDPR/2023-24/BD/WORK_INDENT3275";"EVALUATION_COMPLETED";"600000";"Anganawadi center roof repair, new Doors & window wall repair, painting, Balasnehi at Mittiganahalli, Nellahalli-1, Neelakanta Agrahara and Pura in Malur Taluk Kolar District";"Rural Development and Panchayat Raj Department";"RDPR Division Office Kolar";"WORKS";"Anganawadi center roof repair, new Doors & window wall repair, painting, Balasnehi at Mittiganahalli, Nellahalli-1, Neelakanta Agrahara and Pura in Malur Taluk Kolar District";"2024-11-01 14:47:09"
"KPCL/2023-24/PS/WORK_INDENT1100";"UNDER_EVALUATION";"729627";"Providing of Housekeeping services in AHP silo areas at YTPS site.";"Karnataka Power Corporation Limited";"KPCL Executive Engineer SAFETY Office YTPS Raichur";"WORKS";"Providing of Housekeeping services in AHP silo areas at YTPS site.";"2024-11-01 14:44:02"
"KMF/2023-24/SE1389";"PUBLISHED";"290304";"Providing Vehicle for Hosatti Route";"Karnataka Co-operative Milk Producers Federation Limited";"Managing Director Belgaum District Co-operative Milk Producers Societies Union Limited";"SERVICES";"Providing Vehicle of capacity 1.0 Ton for Mudalagi Taluk Hosatti Route";"2024-11-01 14:43:28"
"KFD/2023-24/GH/WORK_INDENT4623/CALL-2";"NO_BIDS_RECIEVED";"1271860";"Construction of cattle-proof dry, un coursed rubble stone stone masonry wall at Mincheri RF in 2 Km at Ballari Range During-2023-24 (Unit No-01)";"Karnataka Forest Department";"KFD DCF Territorial Division Office Bellari";"WORKS";"Construction of cattle-proof dry, un coursed rubble stone stone masonry wall at Mincheri RF in 2 Km at Ballari Range During-2023-24 (Unit No-01)";"2024-11-01 14:34:24"
"KFD/2023-24/OW/WORK_INDENT4632/CALL-2";"UNDER_EVALUATION";"1673400";"Excavation of cattle proof trenches-10 Kms and Raising of Agave seedlings-12000 Nos at S M Block in Sandur South Range During-2023-24 (Unit No-09)";"Karnataka Forest Department";"KFD DCF Territorial Division Office Bellari";"WORKS";"Excavation of cattle proof trenches-10 Kms and Raising of Agave seedlings-12000 Nos at S M Block in Sandur South Range During-2023-24 (Unit No-09)";"2024-11-01 14:33:52"
"KFD/2023-24/OW/WORK_INDENT4631/CALL-2";"UNDER_EVALUATION";"836700";"Excavation of cattle proof trenches-Kms and Raising of Agave seedlings-6000 Nos at Somalapura RF in 05 Kms at Sandur South Range During-2023-24 (Unit No-08)";"Karnataka Forest Department";"KFD DCF Territorial Division Office Bellari";"WORKS";"Excavation of cattle proof trenches-Kms and Raising of Agave seedlings-6000 Nos at Somalapura RF in 05 Kms at Sandur South Range During-2023-24 (Unit No-08)";"2024-11-01 14:33:30"
"RDPR/2023-24/BD/WORK_INDENT3230";"UNDER_EVALUATION";"1172259";"Construction One Room MPS School Building At Sunag Village of Bilagi Taluka";"Rural Development and Panchayat Raj Department";"RDPR Division Office Bagalakote";"WORKS";"Construction One Room MPS School Building At Sunag Village of Bilagi Taluka";"2024-11-01 14:33:15"
"KFD/2023-24/OW/WORK_INDENT4628/CALL-2";"UNDER_EVALUATION";"2510100";"Excavation of Cattle proof trenches-15 Kms and raising of Agave seedlings-18000 Nos at Joga B & C Block Thathanagudi Road in 15Km anf Nos in Sandur North Range During-2023-24 (Unit No-06)";"Karnataka Forest Department";"KFD DCF Territorial Division Office Bellari";"WORKS";"Excavation of Cattle proof trenches-15 Kms and raising of Agave seedlings-18000 Nos at Joga B & C Block Thathanagudi Road in 15Km anf Nos in Sandur North Range During-2023-24 (Unit No-06)";"2024-11-01 14:33:03"
"RDPR/2023-24/BD/WORK_INDENT3229";"UNDER_EVALUATION";"1174617";"Construction One Room HPS School Building At Kataraki Village of Bilagi Taluka";"Rural Development and Panchayat Raj Department";"RDPR Division Office Bagalakote";"WORKS";"Construction One Room HPS School Building At Kataraki Village of Bilagi Taluka";"2024-11-01 14:32:49"
"KFD/2023-24/OW/WORK_INDENT4627/CALL-2";"UNDER_EVALUATION";"1165600";"Mechanical (Through machine) clearance of unwanted growth at Agasanuru Sy No 194/A, 195/A & 195/C in 10.00 Ha at Ballari Range During-2023-24 (Unit No-05)";"Karnataka Forest Department";"KFD DCF Territorial Division Office Bellari";"WORKS";"Mechanical (Through machine) clearance of unwanted growth at Agasanuru Sy No 194/A, 195/A & 195/C in 10.00 Ha at Ballari Range During-2023-24 (Unit No-05)";"2024-11-01 14:32:37"
"RDPR/2023-24/BD/WORK_INDENT3227";"UNDER_EVALUATION";"1172259";"CONSTRUCTION OF ONE ROOM LPS SCHOOL BUILDING AT KUNDARAGI LT-2 VILLAGE OF BILAGI TALUKA";"Rural Development and Panchayat Raj Department";"RDPR Division Office Bagalakote";"WORKS";"CONSTRUCTION OF ONE ROOM LPS SCHOOL BUILDING AT KUNDARAGI LT-2 VILLAGE OF BILAGI TALUKA";"2024-11-01 14:32:18"
"KFD/2023-24/OW/WORK_INDENT4625/CALL-2";"UNDER_EVALUATION";"815920";"Mechanical (Through machine) clearance of unwanted growth at Mittesuguru Sy No 65/A in 7.00 Ha at Ballari Range During-2023-24 (Unit No-03)";"Karnataka Forest Department";"KFD DCF Territorial Division Office Bellari";"WORKS";"Mechanical (Through machine) clearance of unwanted growth at Mittesuguru Sy No 65/A in 7.00 Ha at Ballari Range During-2023-24 (Unit No-03)";"2024-11-01 14:32:08"
"RDPR/2023-24/BD/WORK_INDENT3226";"UNDER_EVALUATION";"1172259";"CONSTRUCTION OF ONE ROOM LPS (DPEP) SCHOOL BUILDING AT ARAKERI VILLAGE OF BILAGI TALUKA";"Rural Development and Panchayat Raj Department";"RDPR Division Office Bagalakote";"WORKS";"CONSTRUCTION OF ONE ROOM LPS (DPEP) SCHOOL BUILDING AT ARAKERI VILLAGE OF BILAGI TALUKA";"2024-11-01 14:31:44"
"KFD/2023-24/OW/WORK_INDENT4624/CALL-2";"UNDER_EVALUATION";"815920";"Mechanical (Through machine) clearance of unwanted growth at Mittesuguru Sy No 60/B in 7.00 Ha at Ballari Range During-2023-24 (Unit No-02)";"Karnataka Forest Department";"KFD DCF Territorial Division Office Bellari";"WORKS";"Mechanical (Through machine) clearance of unwanted growth at Mittesuguru Sy No 60/B in 7.00 Ha at Ballari Range During-2023-24 (Unit No-02)";"2024-11-01 14:31:30"
"RDPR/2023-24/BD/WORK_INDENT3225";"UNDER_EVALUATION";"1172259";"Construction of One Room HPS School Building At Kundaragi LT 1 Village of Bilagi Taluka";"Rural Development and Panchayat Raj Department";"RDPR Division Office Bagalakote";"WORKS";"Construction of One Room HPS School Building At Kundaragi LT 1 Village of Bilagi Taluka";"2024-11-01 14:31:06"
"RDPR/2023-24/BD/WORK_INDENT3228";"RETENDERED";"1172259";"CONSTRUCTION OF ONE ROOM HPS SCHOOL BUILDING AT LINGAPUR SK VILLAGE OF BILAGI TALUKA";"Rural Development and Panchayat Raj Department";"RDPR Division Office Bagalakote";"WORKS";"CONSTRUCTION OF ONE ROOM HPS SCHOOL BUILDING AT LINGAPUR SK VILLAGE OF BILAGI TALUKA";"2024-11-01 14:30:35"
"RDPR/2023-24/IND0867";"UNDER_EVALUATION";"80";"Supply of Material for Drinking Watersupply items of BASAVANALU GPDavanagere dist";"Rural Development and Panchayat Raj Department";"RDPR Gram Panchayat Office Basavanhal TP Davanagere";"GOODS";"Supply of Material for Drinking Watersupply items of BASAVANALU GPDavanagere dist";"2024-11-01 14:27:57"
"RDPR/2023-24/BD/WORK_INDENT3440";"EVALUATION_COMPLETED";"2880504";"Ramanagara District, Magadi Taluk, Magadi Town Pre-Matric Boys Dormitory, Someswara Street HIC-1023, the entire building has been damaged and the building is being repaired.";"Rural Development and Panchayat Raj Department";"RDPR Division Office Ramanagaar";"WORKS";"Ramanagara District, Magadi Taluk, Magadi Town Pre-Matric Boys Dormitory, Someswara Street HIC-1023, the entire building has been damaged and the building is being repaired.";"2024-11-01 14:26:22"
"RDPR/2023-24/BD/WORK_INDENT3220";"EVALUATION_COMPLETED";"800000";"Construction of Horticulture Office Building at Chavvenahalli Village in Malur Taluk";"Rural Development and Panchayat Raj Department";"RDPR Division Office Kolar";"WORKS";"Construction of Horticulture Office Building at Chavvenahalli Village in Malur Taluk";"2024-11-01 14:21:53"
"RDPR/2023-24/BD/WORK_INDENT3437";"UNDER_EVALUATION";"922738";"Repair and Maintenance of PRED Sub division office of Channapatan, Channapatna Town";"Rural Development and Panchayat Raj Department";"RDPR Division Office Ramanagaar";"WORKS";"Repair and Maintenance of PRED Sub division office of Channapatan, Channapatna Town";"2024-11-01 14:17:40"
"RDPR/2023-24/BD/WORK_INDENT3438";"UNDER_EVALUATION";"1059074";"Ramanagara district, Magadi taluk, Kalarikaval Village Torepalya Government Junior Primary School 1 new room construction work.";"Rural Development and Panchayat Raj Department";"RDPR Division Office Ramanagaar";"WORKS";"Ramanagara district, Magadi taluk, Kalarikaval Village Torepalya Government Junior Primary School 1 new room construction work.";"2024-11-01 14:12:31"
"RDPR/2023-24/BD/WORK_INDENT93";"UNDER_EVALUATION";"1013698";"Construction of Toilet in Govt Higher Primary Girls School Munavalli Saundatti taluk";"Rural Development and Panchayat Raj Department";"RDPR Division Office Belagavi";"WORKS";"Construction of Toilet in Govt Higher Primary Girls School Munavalli Saundatti taluk";"2024-11-01 14:08:58"
"APMC/2023-24/SE0252";"PUBLISHED";"10620000";"Installation of Smart Solution and Operation and Maintenance of Multi Level Car Parking MLCP at APMC Yeshwanthapura for a period of 05 years";"Agriculture Produce Marketing Committee";"SECRETARY APMC Office YESHVANTHPURA BENGALURU";"SERVICES";"Installation of Smart Solution and Operation and Maintenance of Multi Level Car Parking MLCP at APMC Yeshwanthapura for a period of 05 years";"2024-11-01 14:04:40"
"DMA/2023-24/OW/WORK_INDENT12405";"UNDER_EVALUATION";"95041";"Construction of Cross Drainage Near Agasi Hanuman Temple and Two Side CC Pevment in ward No 09 of Shorapur city Dist Yadgiri (TSP -2023-24)";"Directorate of Municipal Administration";"DMA City Municipal Council Surapura";"WORKS";"Construction of Cross Drainage Near Agasi Hanuman Temple and Two Side CC Pevment in ward No 09 of Shorapur city Dist Yadgiri (TSP -2023-24)";"2024-11-01 13:59:24"
"DMA/2023-24/IND1251";"UNDER_EVALUATION";"10695000";"Supply of Front end Backhoe with loader to Gajendragad TPC, Shirahatti and Mulagund TP Under SBM 1.0 Project";"Directorate of Municipal Administration";"DMA District Urban Development Cell Gadag";"GOODS";"Supply of Front end Backhoe with loader to Gajendragad TPC, Shirahatti and Mulagund TP Under SBM 1.0 Project";"2024-11-01 13:58:58"
"RDPR/2023-24/SE0634";"UNDER_EVALUATION";"110774";"Tender is invited in two cover bid system in E-Procurement Mode from Man Power Agencies for out sourcing the services";"Rural Development and Panchayat Raj Department";"RDPR Zilla Panchayat Deputy Secretary Office Bengaluru Urban";"SERVICES";"Tender is invited in two cover bid system in E-Procurement Mode from Man Power Agencies for out sourcing the services of (i) Data Entry Operators, (ii) Administrative Assistant, (iii) Account Assistant (iv) Drivers (v) D Group, (Vi) sweepers (vii) Security Guards.";"2024-11-01 13:58:10"
"DMA/2023-24/IND0740/CALL-2";"UNDER_EVALUATION";"1556203";"Supply and Installation of Common Facilities and DWCC Tools for Gadag District ULBs";"Directorate of Municipal Administration";"DMA District Urban Development Cell Gadag";"GOODS";"Supply and Installation of Common Facilities and DWCC Tools for Gadag District ULBs";"2024-11-01 13:57:36"
"DMA/2023-24/IND0766/CALL-2";"UNDER_EVALUATION";"5960000";"Supply and Installation of Diesel Generator for Gadag District ULBs";"Directorate of Municipal Administration";"DMA District Urban Development Cell Gadag";"GOODS";"Supply and Installation of Diesel Generator for Gadag District ULBs";"2024-11-01 13:56:59"
"RDPR/2023-24/BD/WORK_INDENT3274";"UNDER_EVALUATION";"600000";"Anganawadi center roof repair, new Doors & window wall repair, painting, Balasnehi at Kommanahalli, Usarahalli, Baraguru and Masthi Muslim Colony in Malur Taluk Kolar District";"Rural Development and Panchayat Raj Department";"RDPR Division Office Kolar";"WORKS";"Anganawadi center roof repair, new Doors & window wall repair, painting, Balasnehi at Kommanahalli, Usarahalli, Baraguru and Masthi Muslim Colony in Malur Taluk Kolar District";"2024-11-01 13:48:40"
"SD/2023-24/SE0072";"UNDER_EVALUATION";"11381";"Providing manpower services to Sericulture Department Shimoga";"Department of Sericulture";"SD Deputy Director Office Shivamogga";"SERVICES";"Providing manpower services to Sericulture Department Shimoga";"2024-11-01 13:47:37"
"RWSSD/2023-24/IND0080";"UNDER_EVALUATION";"289473";"Supply Of CRMs, Chemicals, Glasswares and Basic Requirements for RDWSD Water Quality Lab Ramanagara, Kanakapura & Magadi for the year 2023-24";"Rural Drinking Water and Sanitation Department";"RWSSD Division Office Ramanagaar";"GOODS";"Supply Of CRMs, Chemicals, Glasswares and Basic Requirements for RDWSD Water Quality Lab Ramanagara, Kanakapura & Magadi for the year 2023-24";"2024-11-01 13:44:00"
"RDPR/2023-24/BD/WORK_INDENT106";"UNDER_EVALUATION";"1267660";"Construction of Savadatti Taluk Govt High School Munavalli Toilet Construction Dice no. 29011208014.";"Rural Development and Panchayat Raj Department";"RDPR Division Office Belagavi";"WORKS";"Construction of Savadatti Taluk Govt High School Munavalli Toilet Construction Dice no. 29011208014.";"2024-11-01 13:38:09"
"DME/2023-24/IND0438";"UNDER_EVALUATION";"5539000";"TENDER FOR SUPPLY, INSTALLATION, CONFIGURATION, TESTING & COMMISSIONING OF DESKTOP AND PERIPHERALS";"Department of Medical Education";"Government Dental College and Research Institute Bengaluru";"GOODS";"TENDER FOR SUPPLY, INSTALLATION, CONFIGURATION, TESTING & COMMISSIONING OF DESKTOP AND PERIPHERALS";"2024-11-01 13:37:43"
"DMA/2023-24/OW/WORK_INDENT12404";"UNDER_EVALUATION";"101522";"Development of Badiger Well in ward No 06 of Shorapur city Dist Yadgiri (TSP -2023-24)";"Directorate of Municipal Administration";"DMA City Municipal Council Surapura";"WORKS";"Development of Badiger Well in ward No 06 of Shorapur city Dist Yadgiri (TSP -2023-24)";"2024-11-01 13:33:34"
"DMA/2023-24/RD/WORK_INDENT12403";"UNDER_EVALUATION";"100051";"Construction of CC Road From Kalavati House to Main Road Near Panchamukhi Hanuman Temple in ward No 05 of Shorapur city Dist Yadgiri (TSP -2023-24) ( Reserved for ST Category)";"Directorate of Municipal Administration";"DMA City Municipal Council Surapura";"WORKS";"Construction of CC Road From Kalavati House to Main Road Near Panchamukhi Hanuman Temple in ward No 05 of Shorapur city Dist Yadgiri (TSP -2023-24) ( Reserved for ST Category)";"2024-11-01 13:32:09"
"DHFWS/2023-24/SE0453";"UNDER_EVALUATION";"20404";"PROVIDING NON CLINICAL SERVICE TENDER FOR TALUK GENERAL HOSPITAL TARIKERE, CHIKKAMAGALURU DIST FOR THE YEAR 2024-25";"Department Of Health And Family Welfare Services";"DHFWS Chief Medical Office Tarikere";"SERVICES";"PROVIDING NON-CLINICAL SERVICE TENDER FOR TALUK GENERAL HOSPITAL TARIKERE, CHIKKAMAGALURU DIST FOR THE YEAR 2024-25";"2024-11-01 13:31:25"
"DHFWS/2023-24/SE0452";"NO_BIDS_RECIEVED";"16296";"PROVIDING OUTSOURCE GROUP D TALUK GENERAL HOSPITAL TARIKERE CHIKKAMAGALURU FOR THE YEAR OF 2024-25";"Department Of Health And Family Welfare Services";"DHFWS Chief Medical Office Tarikere";"SERVICES";"PROVIDING OUTSOURCE GROUP D TALUK GENERAL HOSPITAL TARIKERE CHIKKAMAGALURU FOR THE YEAR OF 2024-25";"2024-11-01 13:31:02"
"DMA/2023-24/SE1703/CALL-2";"UNDER_EVALUATION";"1650";"Implementation of Animal Birth Control (ABC)/ Anti Rabies Vaccination (ARV) Programme for Stray Dogs and Euthanizing the Sick, Rabid & Rogue Dogs in a humane manner at CMC Chitradurga";"Directorate of Municipal Administration";"DMA City Municipal Council Chitraduga";"SERVICES";"Implementation of Animal Birth Control (ABC)/ Anti Rabies Vaccination (ARV) Programme for Stray Dogs and Euthanizing the Sick, Rabid & Rogue Dogs in a humane manner at CMC Chitradurga";"2024-11-01 13:30:32"
"DMA/2023-24/RD/WORK_INDENT12402";"UNDER_EVALUATION";"149642";"Construction of CC Road From yamnappa Kattimani House to Bhimanna Hulgappa House in ward No 15 of Shorapur city Dist Yadgiri (SCSP -2023-24)";"Directorate of Municipal Administration";"DMA City Municipal Council Surapura";"WORKS";"Construction of CC Road From yamnappa Kattimani House to Bhimanna Hulgappa House in ward No 15 of Shorapur city Dist Yadgiri (SCSP -2023-24)";"2024-11-01 13:30:12"
"KMF/2023-24/SE1381";"PUBLISHED";"1316044";"Providing vehicle for Hire Angrolli Route";"Karnataka Co-operative Milk Producers Federation Limited";"Managing Director Belgaum District Co-operative Milk Producers Societies Union Limited";"SERVICES";"Providing Vehicle of Capacity 1.5 Ton for Khanapur Taluk Hire Angrolli Route";"2024-11-01 13:30:09"
"PWD/2023-24/BD/WORK_INDENT5526";"EVALUATION_SUSPENDED";"10535293";"Construction of Additional Class Rooms (Five Rooms) to Government PU College at Chilakawad village in Navalgund Taluka of Dharwad district";"Public Works Department";"PWD Division Office Dharwada";"WORKS";"Construction of Additional Class Rooms (Five Rooms) to Government PU College at Chilakawad village in Navalgund Taluka of Dharwad district";"2024-11-01 13:29:02"
